token_symbol,token_quote_symbol,token_name,price,txns,makers,volume,five_min,one_hour,six_hour,twenty_four_hour,liquidity,fdv,datetime
WPLS,USDC,Wrapped Pulse,$0.0001098,"2,709",$2.9M,"1,076",-0.33%,0.40%,3.12%,4.54%,$16.2M,$855.0M,2023-07-12 16:35:00.300644
CROC,WETH,Crocodile,$0.081297,"2,695",$1.6M,887,0.95%,-10.62%,-18.85%,-34.40%,$314K,$545K,2023-07-12 16:35:00.302585
VARA,USDC,Vara,$0.04210,"2,678",$17K,91,0.51%,-0.51%,-2.67%,20.05%,$35K,$3.2M,2023-07-12 16:35:00.304335
WPIG,WBNB,WPIG,$0.0159570,"2,658",$559K,315,0%,0%,0%,-100%,$1,-,2023-07-12 16:35:00.306083
SPACE,WETH,SPACE,$0.1430,"2,658",$102K,"1,722",-0.03%,0.99%,-0.30%,-0.65%,$313K,$2.5M,2023-07-12 16:35:00.307832
agEUR,USDC,agEUR,$1.10,"2,649",$1.0M,"1,983",-0.42%,0.41%,0.75%,0.93%,$549K,$763K,2023-07-12 16:35:00.309570
Metis,WBNB,Metis Token,$0.01543,"2,641",$152K,657,-0.18%,0.51%,1.84%,-19.18%,$22K,$154K,2023-07-12 16:35:00.311233
axlUSDC,WFTM,Axelar Wrapped USDC,$0.9898,"2,627",$922K,694,-0.53%,-1.04%,-0.67%,-1.40%,$1.2M,$2.0M,2023-07-12 16:35:00.312800
USDT,USDC,Tether USD,$1.00,"2,611",$828K,"1,535",0%,0%,0%,0.01%,$544K,$3.38B,2023-07-12 16:35:00.314379
USDC,DAI,USD Coin (PoS),$1.00,"2,606",$10K,17,0%,0%,0%,0%,$132K,$643.1M,2023-07-12 16:35:00.315972
WETH,DAI,Wrapped Ether,"$1,897.34","2,598",$131K,"2,123",-0.01%,0.17%,0.34%,1.54%,$252K,$121.3M,2023-07-12 16:35:00.317559
APT,USDT,Aptos Coin,$7.02,"2,597",$38K,970,0.02%,-0.56%,-0.44%,0.65%,$69K,-,2023-07-12 16:35:00.319144
ARKM,USDT,Arkham,$0.1280,"2,568",$5.6M,300,5.29%,10.44%,345%,8.38%,$656K,$12.8M,2023-07-12 16:35:00.320707
PAGMI,WETH,PAGMI,$0.091155,"2,564",$1.5M,766,0.51%,14.48%,-47.52%,"1,107%",$31K,$33K,2023-07-12 16:35:00.322160
RIN,USDC,Aldrin,$0.05993,"2,554",$232,14,-5.37%,-5.91%,-5.34%,-3.14%,$11K,$2.9M,2023-07-12 16:35:00.323613
agEUR,USDC,agEUR,$1.10,"2,550",$734K,"2,135",-0.01%,0.41%,0.72%,0.78%,$989K,$3.0M,2023-07-12 16:35:00.325079
Lido,WBNB,Lido Threads,$0.0142591,"2,548",$663K,228,0%,33.70%,-100%,-100%,<$1,-,2023-07-12 16:35:00.326546
RAY,USDC,Raydium,$0.2007,"2,495",$236K,192,-0.01%,-1.08%,1.27%,2.72%,$2.1M,$111.4M,2023-07-12 16:35:00.328047
WAGMI,WETH,Wagmi Coin,$0.082693,"2,493",$3.0M,860,-0.18%,-7.50%,19.98%,445%,$245K,$1.1M,2023-07-12 16:35:00.329503
BUSD,USDC,Binance USD,$0.5755,"2,489",$1.2M,"1,403",0%,1.25%,10.72%,14.86%,$1.4M,$1.8M,2023-07-12 16:35:00.330955
mSOL,USDC,Marinade staked SOL (mSOL),$25.31,"2,459",$24K,114,0.02%,-0.11%,2.59%,2.71%,$8.7K,$142.7M,2023-07-12 16:35:00.332417
iZi,WETH,izumi Token,$0.02437,"2,457",$178K,"1,641",0%,0.39%,0.24%,2.47%,$133K,$4.8M,2023-07-12 16:35:00.333767
STG,WETH,StargateToken,$0.6404,"2,440",$539K,"1,973",0.11%,-0.11%,-2.17%,-1.42%,$379K,$19.7M,2023-07-12 16:35:00.335109
CELO,mcUSD,Celo native asset,$0.4990,"2,423",$17K,152,0%,-0.25%,0.27%,1.47%,$234K,$336.7M,2023-07-12 16:35:00.336446
USDC,USDT,USD Coin,$0.9999,"2,422",$1.2M,"1,611",0%,0%,-0.01%,-0.01%,$819K,$345.2M,2023-07-12 16:35:00.337784
BNBFrog2,WBNB,BNB Frog 2.0,$0.0205794,"2,411",$92K,657,0.16%,-0.51%,-14.24%,104%,$11K,$34K,2023-07-12 16:35:00.339152
HEX,WPLS,HEX,$0.02349,"2,391",$2.8M,"1,039",-0.09%,0.30%,4.98%,4.85%,$49.7M,$13.82B,2023-07-12 16:35:00.340511
ARCH,OSMO,Archway,$0.1442,"2,379",$104K,614,-1.06%,-4.40%,-8.73%,-4.98%,$28K,-,2023-07-12 16:35:00.341877
WPLS,DAI,Wrapped Pulse,$0.0001096,"2,375",$4.6M,958,-0.04%,0.31%,3.68%,5.15%,$40.0M,$853.7M,2023-07-12 16:35:00.343167
ARKM,USDT,Arkham,$0.0001832,"2,363",$5.1M,263,5.17%,60.85%,163%,-52.73%,$506K,$18.3M,2023-07-12 16:35:00.344460
WCORE,USDC,Wrapped CORE,$0.9287,"2,361",$2.8K,"1,070",0.62%,0.24%,0.76%,-1.91%,$51,$1.8M,2023-07-12 16:35:00.345747
USD+,USDC,USD+,$0.9985,"2,347",$1.5M,"1,373",0.05%,1.74%,-7.75%,-3.70%,$1.7M,$3.3M,2023-07-12 16:35:00.347028
Babydoge2.0,WBNB,Babydoge 2.0,$0.0115856,"2,338",$349K,994,-2.53%,12.67%,11.32%,32.08%,$204K,$1.1M,2023-07-12 16:35:00.348311
MOD,USDC,Move Dollar,$1.01,"2,333",$59K,975,0.20%,-0.01%,0.24%,0.25%,$3.3M,-,2023-07-12 16:35:00.349590
WJEWEL,USDC,Wrapped JEWEL,$0.1498,"2,324",$9.0K,"1,942",0%,0.32%,0.48%,0.98%,$612K,$11.3M,2023-07-12 16:35:00.350847
COY,WCORE,COY,$0.04466,"2,320",$159K,866,0.30%,-0.52%,10.33%,23.22%,$302K,$3.3M,2023-07-12 16:35:00.352107
WETH,USDC,Wrapped Ether,"$1,892.48","2,299",$408K,"1,472",-0.15%,0.15%,0.15%,1.03%,$8.3M,$582.6M,2023-07-12 16:35:00.353352
SEG,USDT,Shoe Elimination Game,$0.9971,"2,297",$561K,"1,115",0.07%,4.00%,1.74%,1.23%,$163K,$295.6M,2023-07-12 16:35:00.354599
WETH,USDT,Wrapped Ether,"$1,896.21","2,280",$4.2M,"1,242",-0.02%,0.33%,0.35%,1.08%,$59.1M,$6.47B,2023-07-12 16:35:00.355927
ETH,WFTM,Ethereum,$654.03,"2,276",$1.0M,967,-3.12%,-1.52%,-21.49%,-13.47%,$2.6M,$17.8M,2023-07-12 16:35:00.357181
WETH,USDT,Wrapped Ether,"$1,895.58","2,273",$674K,"1,611",0.06%,0.11%,0.37%,1.30%,$1.1M,$121.2M,2023-07-12 16:35:00.358405
APT,MOD,Aptos Coin,$7.06,"2,249",$42K,936,-0.02%,0.15%,0.55%,0.81%,$1.0M,-,2023-07-12 16:35:00.359648
WBTC,WETH,Wrapped BTC,"$31,304.46","2,230",$195K,"1,743",0%,0.26%,1.22%,1.76%,$1.7M,$2.2M,2023-07-12 16:35:00.360881
$BOLT,WPLS,BOLT,$0.07757,"2,224",$140K,401,-3.01%,-11.13%,26.23%,568%,$18K,$77K,2023-07-12 16:35:00.362111
GETH,WETH,Goerli ETH,$0.1267,"2,218",$3.3K,"2,002",0.05%,0.32%,0.19%,1.54%,$26K,$26K,2023-07-12 16:35:00.363335
PVC,BUSD,PVC META,$13.72,"2,214",$289K,"1,822",0%,0%,-0.01%,23.96%,$25.4M,$20.58B,2023-07-12 16:35:00.364560
BTC.b,WETH,Bitcoin,"$30,676.17","2,204",$484K,"1,717",-0.30%,-0.07%,-0.35%,0.49%,$619K,$855K,2023-07-12 16:35:00.365792
DEDE2.0,WETH,Dede 2.0,$0.0004257,"2,187",$676K,792,-4.37%,1.06%,-79.95%,"1,409%",$17K,$29K,2023-07-12 16:35:00.367014
888,WBNB,888,$0.3304,"2,187",$141K,727,2.96%,27.01%,-17.25%,178%,$17K,$29K,2023-07-12 16:35:00.368249
USDT,BUSD,Tether USD,$0.9986,"2,182",$276K,"1,511",-0.01%,0%,-0.17%,-0.10%,$13.9M,$3.37B,2023-07-12 16:35:00.369483
OP,WETH,Optimism,$1.25,"2,174",$81K,"1,374",0.03%,-0.18%,1.49%,3.22%,$347K,$5.37B,2023-07-12 16:35:00.370701
BUSD,WETH,Binance USD,$0.9972,"2,172",$56K,"1,596",-0.05%,-0.05%,-0.40%,-0.24%,$127K,$3.2M,2023-07-12 16:35:00.371984
WETH,DAI,WETH,"$1,895.53","2,172",$13K,"1,388",-0.04%,0.50%,0.02%,1.12%,$183K,$5.7M,2023-07-12 16:35:00.373271
HNT,USDC,Helium Network Token,$1.46,"2,156",$81K,332,0.03%,-1.37%,0.88%,9.02%,$34K,$222.1M,2023-07-12 16:35:00.374420
PEPE2.0,WETH,Pepe 2.0,$0.078879,"2,144",$3.0M,"1,229",2.65%,-1.45%,2.78%,-7.49%,$1.6M,$37.3M,2023-07-12 16:35:00.375539
RAY,SOL,Raydium,$0.2002,"2,141",$157K,181,-0.48%,-1.27%,0.91%,2.26%,$2.0M,$111.1M,2023-07-12 16:35:00.376652
ePepe,WETH,Ether Pepe Inu,$0.053054,"2,140",$1.0M,703,3.11%,14.21%,7.94%,"4,286%",$91K,$305K,2023-07-12 16:35:00.377766
USD+,USDC,USD+,$1.00,"2,121",$4.5M,"1,022",0%,0%,0.02%,0.01%,$1.6M,$3.3M,2023-07-12 16:35:00.378876
WMOVR,USDC,Wrapped MOVR,$8.69,"2,115",$245K,249,0.20%,-0.79%,-9.41%,-12.98%,$1.1M,$3.3M,2023-07-12 16:35:00.379985
WETH,USDC,WETH,"$1,897.86","2,104",$56K,991,0%,0.56%,0.23%,1.25%,$476K,$5.7M,2023-07-12 16:35:00.381093
